中央 Recorded Tmp（℃）,間口 Recorded Tmp（℃）,Vessel,Location/Nearest Place,AIS Lat,AIS Lng,Lat_snap025,Lng_snap025,valid_time_y,Air tmp（℃）,中央 Diff,間口 Diff
26.8,26.7,,Kamigumi W/H,,,,,2025/8/28 10:30,29.3,-8.5%,-8.9%
32.6,33,,Kamigumi W/H,,,,,2025/8/28 11:00,30.0,8.7%,10.0%
34,35.5,,Kamigumi W/H,,,,,2025/8/28 11:30,31.2,9.0%,13.8%
40.7,32.4,,Kamigumi W/H,,,,,2025/8/28 12:00,32.0,27.2%,1.3%
40.7,32,,Kamigumi W/H,,,,,2025/8/28 12:30,32.3,26.0%,-0.9%
41.2,31.8,,Kamigumi W/H,,,,,2025/8/28 13:00,32.8,25.6%,-3.0%
35.5,35.2,,Kamigumi W/H,,,,,2025/8/28 13:30,32.1,10.6%,9.7%
38.3,35.8,,Kamigumi W/H,,,,,2025/8/28 14:00,32.7,17.1%,9.5%
36.8,35.2,,Kamigumi W/H,,,,,2025/8/28 14:30,32.6,12.9%,8.0%
35.7,34.3,,Yokohama CY,,,,,2025/8/28 15:00,32.5,9.8%,5.5%
34.9,33.9,,Yokohama CY,,,,,2025/8/28 15:30,32.4,7.7%,4.6%
34.7,33.9,,Yokohama CY,,,,,2025/8/28 16:00,31.2,11.2%,8.7%
34.4,33.6,,Yokohama CY,,,,,2025/8/28 16:30,31.1,10.6%,8.0%
33.7,33.1,,Yokohama CY,,,,,2025/8/28 17:00,30.2,11.6%,9.6%
33.1,32.4,,Yokohama CY,,,,,2025/8/28 17:30,29.6,11.8%,9.5%
32.5,31.8,,Yokohama CY,,,,,2025/8/28 18:00,28.7,13.2%,10.8%
31.9,31.3,,Yokohama CY,,,,,2025/8/28 18:30,28.3,12.7%,10.6%
31.5,30.8,,Yokohama CY,,,,,2025/8/28 19:00,27.9,12.9%,10.4%
31,30.5,,Yokohama CY,,,,,2025/8/28 19:30,27.6,12.3%,10.5%
30.7,30,,Yokohama CY,,,,,2025/8/28 20:00,27.3,12.5%,9.9%
30.3,29.7,,Yokohama CY,,,,,2025/8/28 20:30,27.1,11.8%,9.6%
30,29.5,,Yokohama CY,,,,,2025/8/28 21:00,26.9,11.5%,9.7%
